,,,Mg/Ca,StDev,,RelStDev
12671,2254,8564,0.40229,0.027084,2254,0.0673245668547565
12576,2289,8563,0.39489,0.033762,2289,0.0854972270758946
12481,2323,8562,0.247027,0.070266,2323,0.284446639436175
12386,2358,8560,0.033426,0.014145,2358,0.423173577454676
12292,2393,8559,0.04193,0.014571,2393,0.347507751013594
13622,1996,8573,0.362869,0.018221,1996,0.0502137134888899
13525,2032,8572,0.33433,0.042998,2032,0.128609457721413
13429,2068,8571,0.332739,0.034741,2068,0.104409161535017
13332,2104,8569,0.307632,0.032426,2104,0.105405159411245
13235,2141,8568,0.295319,0.040549,2141,0.137305760889073
13139,2177,8567,0.297785,0.028263,2177,0.0949107577614722
13042,2213,8566,0.329995,0.015896,2213,0.0481704268246489
12945,2249,8564,0.351478,0.024967,2249,0.0710343179373958
12848,2285,8563,0.383856,0.031865,2285,0.083012900671085
12752,2321,8562,0.425061,0.021694,2321,0.0510373805171493
12655,2357,8561,0.435678,0.018597,2357,0.0426851941112473
12558,2394,8559,0.406301,0.029341,2394,0.0722149342482544
12462,2430,8558,0.047153,0.01765,2430,0.374313405297648
12365,2466,8557,0.050072,0.008388,2466,0.167518772966928
13611,2117,8569,0.374617,0.039788,2117,0.106209808951543
13513,2152,8568,0.335568,0.017505,2152,0.0521652839364898
13416,2188,8567,0.314166,0.012705,2188,0.0404404041175684
13318,2223,8566,0.317259,0.016966,2223,0.0534768123205331
13220,2259,8564,0.306295,0.035301,2259,0.115251636494229
13122,2294,8563,0.336711,0.021691,2294,0.0644202298113219
13024,2329,8562,0.352646,0.028868,2329,0.0818611298582715
12927,2365,8561,0.401043,0.020638,2365,0.0514608159224821
12829,2400,8559,0.402679,0.019535,2400,0.0485125869489097
12731,2435,8558,0.468013,0.024034,2435,0.0513532743748571
12633,2471,8557,0.320215,0.032095,2471,0.100229533282326
12535,2506,8556,0.04531,0.012432,2506,0.274376517325094
12438,2541,8555,0.055339,0.017061,2541,0.308299752434992
13697,2202,8567,0.361697,0.042664,2202,0.117955083951484
13598,2237,8565,0.357211,0.029288,2237,0.081990756163724
13499,2271,8564,0.32889,0.021746,2271,0.0661193712183405
13400,2306,8563,0.286309,0.014514,2306,0.0506934815182198
13302,2340,8562,0.318228,0.010623,2340,0.0333817263094385
13203,2375,8561,0.319922,0.022769,2375,0.0711704728027457
13104,2409,8559,0.395742,0.023702,2409,0.0598925562614026
13005,2444,8558,0.375545,0.019589,2444,0.05216152524997
12906,2479,8557,0.39997,0.035127,2479,0.0878240868065105
12807,2513,8556,0.455685,0.034991,2513,0.0767876932530147
12708,2548,8555,0.289334,0.052112,2548,0.180110184077917
12609,2582,8553,0.049544,0.009525,2582,0.192253350557081
12510,2617,8552,0.049417,0.012081,2617,0.24447052633709
13783,2287,8564,0.343946,0.031463,2287,0.0914765689962959
13683,2321,8563,0.361486,0.011901,2321,0.0329224368301954
13583,2355,8562,0.331322,0.017243,2355,0.0520430276287116
13483,2388,8561,0.301249,0.016077,2388,0.0533678120093345
13383,2422,8559,0.327172,0.032523,2422,0.0994064284229702
13283,2456,8558,0.310242,0.022378,2456,0.0721307882233869
13183,2490,8557,0.372185,0.028354,2490,0.0761825436274971
13083,2523,8556,0.373831,0.019522,2523,0.0522214583595261
12983,2557,8555,0.405312,0.020016,2557,0.0493841781146376
12883,2591,8553,0.445029,0.028481,2591,0.0639980765298441
12783,2625,8552,0.124228,0.016779,2625,0.13506616865763
12683,2658,8551,0.048203,0.015713,2658,0.325975561687032
12583,2692,8550,0.038324,0.016962,2692,0.442594718714122
13869,2373,8561,0.393869,0.029526,2373,0.0749640108767128
13768,2407,8560,0.352124,0.040619,2407,0.115354250207313
13667,2441,8559,0.329014,0.004403,2441,0.0133824092591805
13566,2474,8558,0.33023,0.033074,2474,0.100154437816068
13465,2508,8557,0.334329,0.018351,2508,0.0548890464183484
13364,2542,8555,0.300158,0.01717,2542,0.0572032063113427
13262,2576,8554,0.359493,0.019479,2576,0.05418464337275
13161,2610,8553,0.370051,0.019917,2610,0.053822310978757
13060,2644,8552,0.419824,0.033018,2644,0.0786472426540646
12959,2677,8551,0.468748,0.038678,2677,0.0825134187239199
12858,2711,8550,0.078457,0.009686,2711,0.123456160699491
12757,2745,8548,0.05059,0.012541,2745,0.247894840877644
12656,2779,8547,0.042823,0.006547,2779,0.152885131821685
13974,2423,8560,0.375429,0.033233,2423,0.0885200663773976
13878,2457,8559,0.372005,0.017279,2457,0.0464483004260695
13781,2491,8558,0.348349,0.030791,2491,0.0883912398198358
13685,2525,8556,0.337862,0.021124,2525,0.062522568385909
13589,2559,8555,0.27915,0.043032,2559,0.154153680816765
13493,2593,8554,0.33762,0.029905,2593,0.0885759137491855
13397,2627,8553,0.321828,0.03827,2627,0.118914451197534
13300,2661,8552,0.405724,0.016298,2661,0.0401701649397127
13204,2695,8550,0.372154,0.027906,2695,0.0749850868188976
13108,2729,8549,0.408095,0.015404,2729,0.0377461130374055
13012,2763,8548,0.221767,0.067063,2763,0.302402972489144
12916,2798,8547,0.054734,0.01718,2798,0.31388168231812
12819,2832,8546,0.045971,0.022997,2832,0.50025015770812
12723,2866,8545,0.051155,0.015682,2866,0.306558498680481
14072,2476,8558,0.383011,0.030101,2476,0.0785904321285812
13974,2512,8557,0.364503,0.037133,2512,0.101872961265065
13876,2548,8556,0.343354,0.0149,2548,0.043395446099361
13778,2585,8555,0.332227,0.024558,2585,0.0739193382837638
13680,2622,8553,0.293232,0.022904,2622,0.0781088012222404
13582,2658,8552,0.337222,0.029224,2658,0.086661012626697
13484,2694,8551,0.33968,0.00465,2694,0.013689354686764
13385,2731,8549,0.343575,0.028925,2731,0.0841883140507895
13287,2768,8548,0.388483,0.066594,2768,0.171420628444488
13189,2804,8547,0.406425,0.028797,2804,0.0708544011810297
13091,2840,8546,0.147283,0.028581,2840,0.194054982584548
12993,2877,8544,0.0511,0.016383,2877,0.320606653620352
12895,2914,8543,0.044902,0.01517,2914,0.337846866509287
12797,2950,8542,0.038893,0.005674,2950,0.145887434756897
14176,2526,8557,0.411115,0.026953,2526,0.0655607311822726
14083,2562,8556,0.340916,0.022881,2562,0.0671162397775405
13989,2599,8554,0.347137,0.021342,2599,0.0614800496633894
13895,2635,8553,0.365874,0.020526,2635,0.0561012807687893
13802,2672,8552,0.338056,0.032109,2672,0.0949813048725655
13708,2708,8551,0.278085,0.012977,2708,0.046665587859827
13614,2745,8549,0.327725,0.028755,2745,0.0877412464718895
13520,2781,8548,0.321263,0.012369,2781,0.0385011657115821
13427,2818,8547,0.400539,0.021061,2818,0.0525816462317028
13333,2854,8546,0.404171,0.0243,2854,0.0601230667217589
13239,2891,8544,0.474544,0.018589,2891,0.0391723422907043
13146,2927,8543,0.063847,0.015548,2927,0.243519664197221
13052,2964,8542,0.031851,0.007301,2964,0.229223572258328
12958,3000,8540,0.036053,0.008233,3000,0.228358250353646
12865,3037,8539,0.040742,0.011282,3037,0.27691325904472
14275,2578,8555,0.340515,0.022818,2578,0.067010263865028
14179,2617,8554,0.393355,0.039441,2617,0.100268205564948
14084,2655,8553,0.368883,0.021605,2655,0.0585687060666932
13988,2694,8551,0.366469,0.021739,2694,0.0593201607775828
13893,2733,8550,0.326705,0.011949,2733,0.0365742795488284
13797,2772,8549,0.318009,0.017727,2772,0.0557437053668292
13702,2811,8547,0.348246,0.009794,2811,0.0281237975454133
13606,2850,8546,0.323135,0.012029,2850,0.0372259272440311
13511,2888,8545,0.409189,0.026545,2888,0.0648722228603408
13416,2927,8543,0.433601,0.020246,2927,0.0466926967419356
13320,2966,8542,0.132634,0.007656,2966,0.0577227558544566
13225,3005,8541,0.067942,0.019306,3005,0.284154131465073
13129,3044,8539,0.050291,0.021202,3044,0.421586367342069
13034,3083,8538,0.034597,0.010156,3083,0.293551463999769
12938,3121,8537,0.032723,0.008412,3121,0.257066894844605
14310,2687,8552,0.367349,0.049988,2687,0.136077680897457
14217,2724,8551,0.442419,0.028178,2724,0.0636907546918193
14124,2762,8549,0.350343,0.021747,2762,0.0620734537296307
14031,2799,8548,0.353505,0.016954,2799,0.0479597176843326
13938,2836,8547,0.33779,0.019056,2836,0.0564137481867432
13845,2874,8545,0.299037,0.017391,2874,0.0581566829522768
13752,2911,8544,0.311467,0.014817,2911,0.0475716528556797
13659,2948,8543,0.330624,0.027503,2948,0.0831851287262873
13566,2986,8542,0.268123,0.02384,2986,0.088914416144829
13473,3023,8540,0.08385,0.015751,3023,0.187847346451998
13380,3060,8539,0.060899,0.005502,3060,0.0903463111052727
13287,3098,8538,0.076186,0.020243,3098,0.265704985167879
13194,3135,8536,0.03675,0.018492,3135,0.503183673469388
13101,3172,8535,0.039618,0.018616,3172,0.46988742490787
13008,3210,8534,0.045893,0.019776,3210,0.430915390146645
14341,2797,8548,0.392728,0.03654,2797,0.093041494367603
14245,2833,8547,0.334095,0.017396,2833,0.0520690222840809
14149,2869,8546,0.372214,0.008572,2869,0.0230297624484839
14053,2905,8545,0.334448,0.020702,2905,0.0618990097115247
13957,2942,8543,0.32586,0.026072,2942,0.0800098201681704
13861,2978,8542,0.319914,0.028862,2978,0.0902179960864482
13765,3014,8541,0.327655,0.023325,3014,0.0711876821656926
13669,3050,8540,0.259431,0.043717,3050,0.168511087726602
13573,3087,8538,0.062973,0.01861,3087,0.295523478316104
13477,3123,8537,0.059168,0.026795,3123,0.452863034072472
13381,3159,8536,0.066423,0.01496,3159,0.225223190762236
13285,3195,8535,0.045778,0.019311,3195,0.421840185241819
13189,3232,8533,0.052962,0.022054,3232,0.416411766927231
13093,3268,8532,0.045924,0.008053,3268,0.175354934239178
14371,2906,8545,0.354608,0.025736,2906,0.0725759148129766
14271,2941,8544,0.352375,0.026377,2941,0.0748549130897481
14172,2976,8542,0.381178,0.024107,2976,0.0632434190850469
14073,3011,8541,0.343651,0.032018,3011,0.0931701057177194
13973,3046,8540,0.337936,0.025252,3046,0.0747242081340845
13874,3081,8539,0.325649,0.019495,3081,0.0598650694459372
13775,3116,8538,0.168249,0.014328,3116,0.0851594957473744
13676,3151,8536,0.070744,0.019152,3151,0.270722605450639
13576,3186,8535,0.058688,0.01597,3186,0.272116957470011
13477,3221,8534,0.059781,0.012735,3221,0.213027550559542
13378,3256,8533,0.04477,0.0047,3256,0.104981014071923
13278,3291,8532,0.052257,0.023146,3291,0.442926306523528
13179,3326,8530,0.037758,0.006015,3326,0.159303988558716
14408,3013,8542,0.395814,0.022525,3013,0.056908042666505
14312,3044,8540,0.376157,0.02178,3044,0.0579013550193137
14216,3075,8539,0.388695,0.026089,3075,0.0671194638469751
14120,3106,8538,0.341173,0.022038,3106,0.0645947950160183
14024,3138,8537,0.315366,0.021631,3138,0.0685901460525231
13928,3169,8536,0.366175,0.026661,3169,0.0728094490339319
13833,3200,8535,0.059046,0.006839,3200,0.115824950038953
13737,3231,8534,0.054955,0.013665,3231,0.248657992903285
13641,3262,8533,0.046282,0.02296,3262,0.496089192342596
13545,3294,8532,0.058325,0.016418,3294,0.281491641663095
13449,3325,8531,0.037286,0.005157,3325,0.138309284986322
13354,3356,8530,0.04508,0.017819,3356,0.395275066548358
13258,3387,8528,0.043368,0.011053,3387,0.254865338498432
14437,3122,8538,0.40457,0.033724,3122,0.0833576389747139
14338,3151,8537,0.388095,0.034041,3151,0.0877130599466626
14238,3181,8536,0.344249,0.021931,3181,0.0637067936290301
14139,3210,8535,0.348163,0.020837,3210,0.0598484043393468
14040,3240,8534,0.218676,0.021744,3240,0.0994347802227954
13940,3269,8533,0.057611,0.017887,3269,0.310478901598653
13841,3299,8532,0.063065,0.024907,3299,0.39494172678982
13741,3328,8531,0.042974,0.022893,3328,0.532717457067064
13642,3357,8530,0.063654,0.014863,3357,0.23349671662425
13543,3387,8529,0.040887,0.012615,3387,0.30853327463497
13443,3416,8528,0.048094,0.006126,3416,0.127375556202437
13344,3446,8527,0.041899,0.009306,3446,0.222105539511683
14466,3230,8535,0.381751,0.037447,3230,0.0980927358409015
14363,3258,8534,0.337044,0.020469,3258,0.0607309431409549
14259,3285,8533,0.340237,0.018662,3285,0.0548500016165203
14156,3313,8532,0.149114,0.015601,3313,0.104624649596953
14052,3340,8531,0.044545,0.008184,3340,0.183724323717589
13948,3368,8530,0.049251,0.011983,3368,0.243304704473006
13845,3395,8529,0.048262,0.007877,3395,0.163213294103021
13741,3423,8528,0.068064,0.014921,3423,0.219220145745181
13638,3450,8527,0.045844,0.017453,3450,0.380704127039525
13534,3478,8526,0.050897,0.006728,3478,0.132188537634831
13430,3505,8525,0.03896,0.008969,3505,0.230210472279261
14518,3325,8532,0.404512,0.041271,3325,0.102026639506368
14417,3349,8531,0.363714,0.036949,3349,0.101588060948987
14316,3373,8530,0.326054,0.029708,3373,0.0911137418955142
14216,3397,8529,0.033312,0.007705,3397,0.231298030739673
14115,3421,8528,0.046156,0.005242,3421,0.113571366669555
14014,3445,8527,0.047877,0.019844,3445,0.414478768510976
13913,3469,8527,0.050482,0.008481,3469,0.16800047541698
13812,3493,8526,0.068309,0.010547,3493,0.154401323398088
13711,3517,8525,0.036509,0.006938,3517,0.190035333753321
13611,3541,8524,0.047375,0.007517,3541,0.15867018469657
13510,3565,8523,0.05006,0.010786,3565,0.215461446264483
14570,3419,8529,0.378061,0.025355,3419,0.067065896773272
14472,3439,8528,0.365865,0.03,3439,0.0819974580787996
14374,3460,8527,0.08254,0.029241,3460,0.354264598982312
14276,3481,8526,0.051148,0.023686,3481,0.463087510753109
14177,3502,8526,0.051398,0.009437,3502,0.183606366006459
14079,3522,8525,0.060228,0.014677,3522,0.243690642226207
13981,3543,8524,0.04566,0.012295,3543,0.269272886552781
13883,3564,8523,0.05184,0.008314,3564,0.160378086419753
13785,3584,8523,0.035391,0.005495,3584,0.155265462970812
13687,3605,8522,0.059608,0.009699,3605,0.162713058649846
13589,3626,8521,0.052665,0.013023,3626,0.247279977214469
14613,3514,8526,0.359542,0.046128,3514,0.128296555061717
14509,3533,8525,0.078859,0.013921,3533,0.176530262874244
14405,3552,8524,0.045312,0.012653,3552,0.279241701977401
14301,3571,8524,0.047556,0.013111,3571,0.275696021532509
14197,3590,8523,0.047641,0.021724,3590,0.455993786864256
14093,3609,8522,0.037005,0.007466,3609,0.201756519389272
13989,3628,8522,0.056347,0.009862,3628,0.175022627646547
13885,3647,8521,0.042761,0.013649,3647,0.31919272234045
13781,3666,8520,0.039811,0.007555,3666,0.189771671146166
13678,3685,8519,0.042482,0.009247,3685,0.217668659667624
14664,3608,8523,0.319145,0.031792,3608,0.0996161619326638
14564,3624,8522,0.036319,0.01015,3624,0.279468047027727
14463,3639,8522,0.05431,0.022944,3639,0.422463634689744
14362,3654,8521,0.049025,0.023097,3654,0.471126976032636
14261,3669,8520,0.057424,0.019942,3669,0.347276400111452
14160,3684,8520,0.046414,0.00714,3684,0.153832895247124
14059,3700,8519,0.065467,0.007421,3700,0.113354819985642
13959,3715,8519,0.037122,0.00938,3715,0.252680351274177
13858,3730,8518,0.042785,0.022174,3730,0.518265747341358
13757,3746,8518,0.042973,0.007214,3746,0.167872850394434
14706,3703,8520,0.048591,0.014963,3703,0.307937683933239
14599,3716,8519,0.055587,0.026629,3716,0.479050857214816
14491,3729,8519,0.046004,0.013244,3729,0.287888009738284
14384,3741,8518,0.042639,0.019761,3741,0.463448955181876
14276,3754,8518,0.045671,0.014155,3754,0.30993409384511
14169,3767,8517,0.052203,0.013062,3767,0.250215504856043
14061,3780,8517,0.047775,0.006376,3780,0.133458922030351
13953,3792,8516,0.033148,0.004047,3792,0.122088813804754
13846,3805,8516,0.050236,0.017238,3805,0.343140377418584
14759,3797,8517,0.049445,0.024762,3797,0.500798867428456
14654,3805,8517,0.052882,0.010909,3805,0.206289474679475
14550,3814,8516,0.046588,0.005177,3814,0.111123035974929
14446,3823,8516,0.048657,0.009042,3823,0.185831432270794
14342,3831,8515,0.05468,0.012153,3831,0.222256766642282
14238,3840,8515,0.067219,0.018432,3840,0.274208185185736
14133,3849,8515,0.051037,0.01406,3849,0.275486411818877
14029,3858,8514,0.03862,0.014031,3858,0.363309166235111
13925,3866,8514,0.0483,0.011925,3866,0.246894409937888
14811,3890,8514,0.053785,0.019859,3890,0.369229339035047
14710,3895,8514,0.040475,0.007127,3895,0.176084002470661
14609,3899,8513,0.04896,0.008059,3899,0.164603758169935
14508,3904,8513,0.043477,0.008836,3904,0.20323389378292
14407,3909,8513,0.058944,0.019579,3909,0.33216273072747
14306,3913,8513,0.069414,0.00834,3913,0.120148673178321
14206,3918,8512,0.042048,0.00969,3918,0.230450913242009
14105,3923,8512,0.038671,0.01344,3923,0.34754725763492
14004,3927,8512,0.042339,0.011497,3927,0.271546328444224
14851,3986,8511,0.056252,0.012996,3986,0.231031785536514
14741,3989,8511,0.046159,0.007249,3989,0.157044130072142
14631,3992,8511,0.050208,0.009942,3992,0.198016252390057
14521,3995,8510,0.053936,0.008221,3995,0.152421388312074
14411,3998,8510,0.067603,0.011158,3998,0.165051846811532
14301,4001,8510,0.038427,0.005592,4001,0.145522679366071
14191,4004,8510,0.031733,0.006663,4004,0.209970692969464
14081,4007,8510,0.038107,0.009843,4007,0.258299000183693
14901,4081,8508,0.086604,0.011964,4081,0.13814604406263
14794,4082,8508,0.054801,0.016286,4082,0.297184357949672
14686,4083,8508,0.052114,0.010511,4083,0.201692443489274
14578,4084,8508,0.050185,0.013915,4084,0.277274085882236
14471,4085,8507,0.062274,0.007983,4085,0.128191540610849
14363,4086,8507,0.047165,0.00721,4086,0.152867592494434
14255,4087,8507,0.036658,0.006185,4087,0.168721697855857
14147,4088,8507,0.031733,0.008083,4088,0.254719062175023
14952,4177,8505,0.082043,0.011742,4177,0.143120071182185
14847,4176,8505,0.046649,0.009324,4176,0.199875667216875
14741,4174,8505,0.048408,0.006699,4174,0.138386217154189
14636,4173,8505,0.050647,0.017645,4173,0.348391809978873
14530,4172,8505,0.065623,0.004458,4172,0.0679334989256815
14425,4171,8505,0.043264,0.009396,4171,0.21717825443787
14319,4170,8505,0.045177,0.005826,4170,0.128959426256724
14214,4169,8505,0.030327,0.002457,4169,0.0810169156197448
15002,4270,8502,0.050469,0.002305,4270,0.0456716003883572
14899,4267,8502,0.048789,0.008973,4267,0.18391440693599
14796,4264,8502,0.049241,0.01163,4264,0.236185292743852
14693,4261,8502,0.044287,0.005497,4261,0.124122202903787
14589,4258,8502,0.048302,0.00672,4258,0.139124673926546
14486,4255,8502,0.038719,0.004658,4255,0.120302693767918
14383,4252,8502,0.036181,0.003295,4252,0.0910698985655455
14280,4249,8502,0.030581,0.008643,4249,0.282626467414408
15052,4363,8499,0.05192,0.01412,4363,0.271956856702619
14951,4358,8499,0.0412,0.006063,4358,0.147160194174757
14850,4353,8499,0.064189,0.01674,4353,0.260792347598498
14749,4348,8499,0.061096,0.01103,4348,0.180535550608878
14648,4344,8499,0.050877,0.008282,4344,0.162784755390451
14548,4339,8499,0.037587,0.006236,4339,0.165908425785511
14447,4334,8499,0.039203,0.00941,4334,0.240032650562457
14346,4329,8500,0.028166,0.004951,4329,0.175779308385997
15089,4455,8496,0.057195,0.011142,4455,0.194807238394965
14979,4447,8496,0.048866,0.011185,4447,0.228891253632382
14868,4440,8497,0.048253,0.013813,4440,0.286261994072907
14757,4432,8497,0.053449,0.011075,4432,0.20720687010047
14646,4425,8497,0.038777,0.008944,4425,0.230652190731619
14535,4418,8497,0.035346,0.013485,4418,0.381514174163979
14424,4410,8497,0.038561,0.00896,4410,0.232359119317445
15140,4547,8493,0.0523,0.011633,4547,0.222428298279159
15031,4538,8494,0.052803,0.009081,4538,0.171978864837225
14923,4528,8494,0.053099,0.01142,4528,0.215069963652799
14815,4519,8494,0.04125,0.006949,4519,0.168460606060606
14706,4510,8494,0.031664,0.006732,4510,0.212607377463365
14598,4500,8494,0.039657,0.010452,4500,0.263560027233528
14490,4491,8495,0.038746,0.007725,4491,0.199375419398131
15190,4640,8490,0.066121,0.011955,4640,0.180804888008348
15084,4628,8491,0.051981,0.018055,4628,0.347338450587715
14978,4617,8491,0.057735,0.008202,4617,0.14206287347363
14873,4606,8491,0.040574,0.008934,4606,0.220190269630798
14767,4594,8492,0.038566,0.006473,4594,0.167842140745735
14661,4583,8492,0.04053,0.015698,4583,0.387318036022699
14556,4571,8492,0.042865,0.013747,4571,0.320704537501458
15239,4734,8488,0.085778,0.018921,4734,0.220581034764159
15135,4721,8488,0.043631,0.005973,4721,0.136898077055305
15031,4709,8488,0.054827,0.010472,4709,0.191000784285115
14927,4696,8488,0.040157,0.008784,4696,0.218741439848594
14823,4684,8489,0.045311,0.015131,4684,0.333936571693408
14720,4671,8489,0.051172,0.013542,4671,0.2646369108106
14616,4659,8489,0.045857,0.021346,4659,0.465490546699522
15288,4827,8485,0.090204,0.013606,4827,0.150835883109397
15186,4814,8485,0.055414,0.008751,4814,0.157920381131122
15084,4800,8485,0.057086,0.012913,4800,0.226202571558701
14982,4787,8486,0.040365,0.006624,4787,0.164102564102564
14880,4773,8486,0.056459,0.021597,4773,0.382525372394127
14778,4759,8486,0.055116,0.012496,4759,0.226721823064083
14676,4746,8487,0.037348,0.007462,4746,0.199796508514512
15337,4921,8482,0.060742,0.014427,4921,0.237512758881828
15237,4906,8482,0.051275,0.001872,4906,0.0365090199902487
15137,4892,8482,0.047359,0.007869,4892,0.166156379991132
15037,4877,8483,0.042668,0.006653,4877,0.155924814849536
14936,4862,8483,0.051829,0.008603,4862,0.165988153350441
14836,4848,8483,0.045297,0.006387,4848,0.141002715411617
14736,4833,8484,0.051235,0.028047,4833,0.547418756709281
15373,5012,8479,0.071836,0.00453,5012,0.0630603040258366
15260,4994,8479,0.04393,0.00854,4994,0.194400182107899
15148,4976,8480,0.036578,0.005252,4976,0.143583574826398
15035,4958,8480,0.050521,0.01184,4958,0.234357989746838
14923,4941,8481,0.042953,0.0033,4941,0.0768281610132005
14810,4923,8481,0.046636,0.015285,4923,0.327751093575778
15462,5085,8477,0.067659,0.010905,5085,0.161175896776482
15362,5071,8477,0.037923,0.003724,5071,0.0981989821480368
15261,5058,8477,0.029671,0.002156,5058,0.0726635435273499
15161,5045,8478,0.045823,0.006194,5045,0.135172293389782
15061,5031,8478,0.044629,0.007696,5031,0.172443926594815
14960,5018,8478,0.038912,0.007906,5018,0.203176398026316
14860,5004,8479,0.054408,0.014921,5004,0.27424275841788
15537,5155,8474,0.081515,0.030563,5155,0.374937128135926
15435,5144,8475,0.047631,0.005415,5144,0.113686464697361
15333,5133,8475,0.033851,0.005599,5133,0.165401317538625
15231,5122,8475,0.044712,0.011936,5122,0.266952943281446
15128,5111,8475,0.064208,0.006785,5111,0.105672190381261
15026,5099,8476,0.058101,0.01084,5099,0.186571659696047
14924,5088,8476,0.060103,0.008898,5088,0.148045854616242
15613,5225,8472,0.058231,0.018225,5225,0.312977623602548
15509,5217,8472,0.034398,0.007331,5217,0.213122855979999
15404,5208,8473,0.029747,0.007691,5208,0.258547080377853
15300,5199,8473,0.036206,0.008818,5199,0.243550792686295
15196,5190,8473,0.078933,0.009038,5190,0.11450217272877
15092,5181,8473,0.048954,0.00502,5181,0.102545246557993
14988,5172,8473,0.059228,0.025637,5172,0.432852704801783
15688,5296,8470,0.051816,0.005037,5296,0.0972093561834183
15582,5289,8470,0.045137,0.009899,5289,0.219310100361123
15476,5283,8470,0.037364,0.004545,5283,0.12164115191093
15370,5276,8470,0.042308,0.003122,5276,0.0737921906022502
15264,5269,8470,0.084425,0.006014,5269,0.0712348238081137
15158,5263,8471,0.055113,0.009683,5263,0.175693575018598
15051,5256,8471,0.059587,0.022366,5256,0.375350328091698
15764,5366,8468,0.04835,0.005683,5366,0.117538779731127
15656,5362,8468,0.033287,0.009485,5362,0.284946075044312
15548,5358,8468,0.039815,0.008747,5358,0.21969107120432
15440,5353,8468,0.055323,0.010135,5353,0.183196862064602
15331,5349,8468,0.0875,0.017974,5349,0.205417142857143
15223,5344,8468,0.046519,0.004906,5344,0.10546228422795
15115,5340,8468,0.054999,0.019106,5340,0.347388134329715
15839,5437,8466,0.045088,0.007558,5437,0.167627750177431
15729,5435,8466,0.031754,0.005208,5435,0.164010833280847
15619,5432,8466,0.041891,0.014006,5432,0.334343892482872
15509,5430,8466,0.049325,0.007752,5430,0.157161682716675
15399,5428,8466,0.070557,0.010421,5428,0.14769618889692
15289,5426,8466,0.045013,0.008362,5426,0.185768555750561
15179,5424,8465,0.050583,0.010005,5424,0.197793725164581
15915,5507,8464,0.064891,0.018482,5507,0.284816076189302
15803,5507,8463,0.03961,0.012904,5507,0.325776319111335
15691,5507,8463,0.03874,0.009701,5507,0.250413009808983
15579,5507,8463,0.048355,0.012601,5507,0.260593527039603
15467,5508,8463,0.066342,0.008454,5508,0.127430586958488
15355,5508,8463,0.051657,0.009139,5508,0.176916971562421
15243,5508,8463,0.045904,0.006284,5508,0.136894388288602
16002,5578,8461,0.066156,0.012911,5578,0.195159925025697
15900,5581,8461,0.038517,0.006122,5581,0.158942804475946
15799,5584,8461,0.039616,0.007053,5584,0.178034127625202
15697,5587,8461,0.046126,0.002518,5587,0.054589602393444
15595,5590,8461,0.04624,0.012118,5590,0.262067474048443
15493,5593,8460,0.05666,0.008503,5593,0.150070596540769
15391,5596,8460,0.046856,0.008247,5596,0.176007341642479
15290,5599,8460,0.045745,0.012263,5599,0.268073013444092
16051,5680,8458,0.04368,0.004067,5680,0.0931089743589744
15951,5682,8458,0.042179,0.007714,5682,0.18288721875815
15850,5684,8458,0.03621,0.008789,5684,0.242723004694836
15749,5686,8458,0.051571,0.007705,5686,0.149405673731361
15648,5688,8458,0.050048,0.003317,5688,0.0662763746803069
15547,5689,8457,0.057395,0.005969,5689,0.103998606150362
15446,5691,8457,0.038527,0.007685,5691,0.199470501206946
15345,5693,8457,0.052315,0.01497,5693,0.286151199464781
16088,5783,8455,0.042335,0.008053,5783,0.190220857446557
15976,5783,8455,0.055033,0.010409,5783,0.189141060818055
15863,5784,8455,0.055924,0.009544,5784,0.170660181675131
15751,5785,8455,0.036455,0.004659,5785,0.12780139898505
15638,5786,8454,0.060616,0.008288,5786,0.136729576349479
15526,5787,8454,0.04496,0.010666,5787,0.237233096085409
15414,5788,8454,0.044038,0.008363,5788,0.189904173668196
16137,5885,8452,0.042457,0.013982,5885,0.32932143109499
16026,5884,8452,0.046366,0.00882,5884,0.190225596342147
15915,5884,8452,0.04288,0.010493,5884,0.244706156716418
15803,5883,8451,0.045298,0.005713,5883,0.126120358514725
15692,5883,8451,0.057301,0.010208,5883,0.178146978237727
15581,5883,8451,0.041871,0.007473,5883,0.178476750017912
15469,5882,8451,0.04643,0.015893,5882,0.342300236915787
16187,5987,8449,0.052728,0.013451,5987,0.255101653770293
16076,5985,8448,0.061278,0.009201,5985,0.150151767355331
15966,5984,8448,0.048659,0.002438,5984,0.0501037834727389
15856,5982,8448,0.049755,0.003438,5982,0.0690985830569792
15746,5980,8448,0.059012,0.003357,5980,0.056886734901376
15635,5979,8448,0.038734,0.003576,5979,0.0923219910156452
15525,5977,8448,0.044483,0.008166,5977,0.183575748038577
16236,6089,8445,0.097207,0.051038,6089,0.525044492680568
16127,6086,8445,0.049415,0.012439,6086,0.251725184660528
16017,6083,8445,0.04299,0.006277,6083,0.146010700162829
15908,6080,8445,0.04291,0.006731,6080,0.156863202050804
15799,6077,8445,0.054138,0.011192,6077,0.206730946839558
15690,6074,8445,0.038872,0.008211,6074,0.211231734924882
15581,6072,8445,0.046297,0.017539,6072,0.378836641683046
16281,6186,8442,0.067345,0.026348,6186,0.391239141732868
16174,6183,8442,0.046295,0.013714,6183,0.296230694459445
16066,6179,8442,0.046464,0.014819,6179,0.31893508953168
15959,6176,8442,0.045958,0.011878,6176,0.258453370468689
