,,,Mg/Ca,StDev,,RelStDev
10255,-1713,8688,0.425231,0.131553,-1713,0.309368319807352
10275,-1600,8684,0.256824,0.029738,-1600,0.115791359063016
10295,-1488,8681,0.350839,0.09124,-1488,0.260062307782202
10315,-1376,8677,0.334136,0.125049,-1376,0.374245816074892
10428,-1326,8676,0.297083,0.064527,-1326,0.21720192673428
10542,-1275,8674,0.352479,0.060912,-1275,0.172810295081409
10612,-1188,8672,0.294273,0.018055,-1188,0.0613545925042393
10682,-1102,8669,0.319779,0.050586,-1102,0.15819050031428
10751,-1016,8666,0.343473,0.035189,-1016,0.102450556521182
10821,-929,8664,0.347282,0.046965,-929,0.135235917784394
10894,-846,8661,0.342202,0.028675,-846,0.0837955359699826
10966,-763,8658,0.376991,0.037136,-763,0.0985063303898502
11038,-680,8656,0.398901,0.028934,-680,0.0725342879561596
11111,-598,8653,0.525302,0.065458,-598,0.124610224213881
11184,-515,8651,0.466886,0.038056,-515,0.0815102616056168
11256,-432,8648,0.29899,0.032527,-432,0.108789591625138
11345,-372,8646,0.269566,0.051735,-372,0.191919604104375
11433,-313,8645,0.307586,0.023711,-313,0.0770873836910653
11522,-253,8643,0.365984,0.044164,-253,0.120671941942817
11610,-194,8641,0.384761,0.077432,-194,0.201247007882816
11699,-134,8639,0.323336,0.035751,-134,0.110569191181928
11838,-83,8638,0.359327,0.045186,-83,0.12575175258191
11977,-32,8636,0.432287,0.044748,-32,0.10351456324155
12023,62,8633,0.391266,0.020183,62,0.0515838329934111
12069,157,8630,0.421404,0.048854,157,0.115931505158945
12115,251,8627,0.39327,0.037217,251,0.0946347293208228
12161,346,8624,0.367685,0.009548,346,0.0259678801147722
12207,440,8621,0.402579,0.030093,440,0.0747505458555961
12253,535,8618,0.40436,0.042148,535,0.10423385102384
12299,630,8615,0.381298,0.026138,630,0.0685500579599159
12345,724,8612,0.380031,0.029694,724,0.0781357310324684
12391,818,8609,0.362039,0.03249,818,0.0897417129093827
12437,913,8606,0.372728,0.038057,913,0.10210394711425
12487,1000,8604,0.421765,0.026794,1000,0.063528268111389
12536,1087,8601,0.405955,0.046817,1087,0.115325590274784
12586,1175,8598,0.332221,0.025666,1175,0.0772558026133207
12635,1262,8596,0.375438,0.046721,1262,0.124443982761468
12685,1349,8593,0.34976,0.023896,1349,0.0683211344922232
12773,1430,8590,0.330988,0.054524,1430,0.164731047651274
12862,1512,8588,0.321159,0.016814,1512,0.0523541298858198
12950,1594,8585,0.330989,0.028242,1594,0.0853260984504017
13038,1675,8583,0.360228,0.029697,1675,0.0824394550118259
