y,x,z,mg_ca,st_dev,dist,sample_mode
15807,25580,7921,0.17583,0.067752,NA,map
15867,25494,7927,0.238841,0.03623,NA,map
15926,25409,7932,0.659622,0.062115,NA,map
15986,25324,7938,0.371224,0.066485,NA,map
16046,25239,7943,0.272801,0.085734,NA,map
16105,25153,7949,0.5141,0.200511,NA,map
16165,25068,7954,0.401694,0.104497,NA,map
16224,24983,7960,0.523463,0.114599,NA,map
16284,24898,7965,0.236676,0.072683,NA,map
16343,24812,7971,0.2113,0.019523,NA,map
16403,24727,7976,0.36404,0.103637,NA,map
16471,24643,7982,0.454743,0.073675,NA,map
16539,24558,7987,0.440708,0.062262,NA,map
16607,24474,7992,0.43464,0.073084,NA,map
16675,24389,7998,0.321382,0.075396,NA,map
16743,24304,8003,0.24398,0.072419,NA,map
16811,24220,8009,0.250942,0.08422,NA,map
16879,24136,8014,0.192024,0.040028,NA,map
16947,24051,8019,0.189647,0.050563,NA,map
17015,23966,8025,0.197003,0.035114,NA,map
17083,23882,8030,0.197702,0.01571,NA,map
17110,23781,8037,0.159713,0.030477,NA,map
17138,23679,8043,0.11759,0.028377,NA,map
17165,23578,8050,0.103227,0.041352,NA,map
17192,23477,8056,0.063069,0.019533,NA,map
17220,23375,8063,0.067328,0.016366,NA,map
17247,23274,8070,0.066516,0.023377,NA,map
17274,23172,8076,0.101928,0.023783,NA,map
17302,23071,8083,0.08558,0.030917,NA,map
17329,22970,8089,0.073097,0.019673,NA,map
17357,22868,8096,0.080113,0.032125,NA,map
17384,22767,8102,0.067965,0.019353,NA,map
17411,22666,8109,0.040839,0.013406,NA,map
17439,22564,8115,0.043009,0.004358,NA,map
17466,22463,8122,0.08386,0.033899,NA,map
17466,22363,8128,0.08213,0.034289,NA,map
17466,22263,8135,0.06074,0.018546,NA,map
17466,22162,8142,0.055406,0.013692,NA,map
17466,22062,8148,0.053079,0.01912,NA,map
17466,21962,8155,0.05157,0.012233,NA,map
17466,21862,8161,0.050122,0.008886,NA,map
