# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: SST_GLO_SST_L4_REP_OBSERVATIONS_010_011
# Dataset: METOFFICE-GLO-SST-L4-REP-OBS-SST_202003
# Variable: Sea surface foundation temperature (analysed_sst) kelvin
# Geometry: POINT(145.53195050914513 -40.8678414237152)
# Values from graph: v(t): value vs. time

time,analysed_sst
"2009-09-05T12:00:00.000Z",284.77
"2009-11-19T12:00:00.000Z",288.97
"2010-02-02T12:00:00.000Z",291.22998
"2010-04-18T12:00:00.000Z",290.69998
"2010-07-02T12:00:00.000Z",286.32
"2010-09-15T12:00:00.000Z",285.13
"2010-11-29T12:00:00.000Z",288.58
"2011-02-12T12:00:00.000Z",291
"2011-04-28T12:00:00.000Z",289.62
"2011-07-12T12:00:00.000Z",285.24
"2011-09-25T12:00:00.000Z",285.28
"2011-12-09T12:00:00.000Z",288.72998
"2012-02-22T12:00:00.000Z",292.32
"2012-05-08T12:00:00.000Z",289.19
"2012-07-22T12:00:00.000Z",285.52
"2012-10-05T12:00:00.000Z",285.35
"2012-12-19T12:00:00.000Z",289.04
"2013-03-04T12:00:00.000Z",292.25998
"2013-05-18T12:00:00.000Z",288.08
"2013-08-01T12:00:00.000Z",285.3
"2013-10-15T12:00:00.000Z",285.94
"2013-12-29T12:00:00.000Z",289.25998
"2014-03-14T12:00:00.000Z",291.66998
"2014-05-28T12:00:00.000Z",288.47
"2014-08-11T12:00:00.000Z",285.07
"2014-10-25T12:00:00.000Z",286.91998
"2015-01-08T12:00:00.000Z",290.38
"2015-03-24T12:00:00.000Z",291.16
"2015-06-07T12:00:00.000Z",287.12
"2015-08-21T12:00:00.000Z",284.19
"2015-11-04T12:00:00.000Z",287.25
"2016-01-18T12:00:00.000Z",291.77
"2016-04-02T12:00:00.000Z",291.4
"2016-06-16T12:00:00.000Z",287.19998
"2016-08-30T12:00:00.000Z",284.77
"2016-11-13T12:00:00.000Z",287.12
"2017-01-27T12:00:00.000Z",290.09
"2017-04-12T12:00:00.000Z",290.86
"2017-06-26T12:00:00.000Z",286.88998
"2017-09-09T12:00:00.000Z",284.50998
"2017-11-23T12:00:00.000Z",289.35
"2018-02-06T12:00:00.000Z",292.72
"2018-04-22T12:00:00.000Z",289.11
"2018-07-06T12:00:00.000Z",285.6
"2018-09-19T12:00:00.000Z",284.78
"2018-12-03T12:00:00.000Z",287.19998
"2019-02-16T12:00:00.000Z",291.94998
"2019-05-02T12:00:00.000Z",289.09
"2019-07-16T12:00:00.000Z",285.71
"2019-09-29T12:00:00.000Z",284.91
"2019-12-13T12:00:00.000Z",287.4
"2020-02-26T12:00:00.000Z",291.33
"2020-05-11T12:00:00.000Z",288.3
"2020-07-25T12:00:00.000Z",284.85
"2020-10-08T12:00:00.000Z",285.63998
"2020-12-22T12:00:00.000Z",289.22998
"2021-03-07T12:00:00.000Z",291.21
"2021-05-21T12:00:00.000Z",287.79
"2021-08-04T12:00:00.000Z",284.6
"2021-10-18T12:00:00.000Z",286.34
"2022-01-01T12:00:00.000Z",290.1
"2022-03-17T12:00:00.000Z",292.46
"2022-05-31T12:00:00.000Z",288.37
