y,x,z,mg_ca,st_dev,dist,sample_mode
10638,-4289,8277,0.464966,0.072411,NA,map
10753,-4269,8273,0.38127,0.040431,NA,map
10868,-4249,8269,0.237851,0.03108,NA,map
10983,-4229,8265,0.185884,0.007023,NA,map
11098,-4209,8261,0.191639,0.061249,NA,map
11213,-4189,8257,0.275572,0.063808,NA,map
11328,-4189,8254,1.17697,0.346739,NA,map
11408,-4085,8248,1.023693,0.225475,NA,map
11488,-3980,8242,0.963901,0.295347,NA,map
11568,-3876,8235,1.303112,0.408533,NA,map
11666,-3836,8231,0.787544,0.676995,NA,map
11764,-3795,8227,1.104832,0.784137,NA,map
11862,-3755,8223,0.984187,0.339971,NA,map
11959,-3715,8218,0.470058,0.095643,NA,map
12057,-3674,8214,0.316172,0.059187,NA,map
12155,-3634,8210,0.306147,0.092927,NA,map
12274,-3600,8205,0.378374,0.045036,NA,map
12394,-3566,8201,0.422247,0.204275,NA,map
12513,-3532,8196,1.013256,0.318146,NA,map
12588,-3447,8191,0.746331,0.144685,NA,map
12663,-3362,8185,1.032885,0.361191,NA,map
12738,-3277,8180,1.122554,0.153425,NA,map
12813,-3192,8174,1.258568,0.42086,NA,map
12889,-3105,8169,0.875397,0.307206,NA,map
12965,-3018,8163,0.942925,0.208152,NA,map
13041,-2931,8158,1.172944,0.138334,NA,map
13117,-2844,8152,0.612492,0.17433,NA,map
13224,-2793,8148,0.688335,0.129969,NA,map
13332,-2742,8143,0.36579,0.074236,NA,map
13440,-2692,8138,0.33019,0.074995,NA,map
13547,-2641,8133,0.873846,0.265726,NA,map
13620,-2556,8127,1.600755,0.737571,NA,map
13694,-2472,8122,1.107576,0.141133,NA,map
13767,-2387,8117,1.389365,0.559955,NA,map
13840,-2302,8111,1.126212,0.573622,NA,map
13931,-2227,8106,0.954085,0.195951,NA,map
14022,-2151,8101,1.205703,0.13522700000000001,NA,map
14113,-2076,8095,1.36352,0.273987,NA,map
14204,-2000,8090,1.05631,0.357641,NA,map
14295,-1925,8084,0.684564,0.242805,NA,map
14454,-1823,8076,0.480219,0.090047,NA,map
14561,-1823,8073,0.57441,0.113591,NA,map
14669,-1823,8070,0.891882,0.247252,NA,map
14776,-1823,8067,0.940819,0.192077,NA,map
14843,-1740,8062,0.95406,0.227049,NA,map
14910,-1658,8057,0.943728,0.102273,NA,map
14977,-1575,8052,1.261609,0.955331,NA,map
15022,-1481,8047,0.837269,0.287785,NA,map
15068,-1387,8042,1.170766,0.339857,NA,map
15114,-1293,8037,1.07619,0.461329,NA,map
15159,-1200,8032,1.008315,0.473051,NA,map
15204,-1106,8027,1.32089,1.025976,NA,map
15250,-1012,8022,1.486389,0.669571,NA,map
15317,-936,8018,0.871474,0.275308,NA,map
15384,-861,8013,0.595678,0.153587,NA,map
15450,-786,8008,0.875669,0.53745,NA,map
15517,-710,8003,0.699189,0.247757,NA,map
15612,-659,7999,0.487001,0.112594,NA,map
15707,-607,7994,0.297812,0.072909,NA,map
15802,-556,7989,0.415725,0.070209,NA,map
15897,-505,7985,0.375288,0.110681,NA,map
15992,-453,7980,0.31131,0.057743,NA,map
16087,-402,7976,0.309803,0.037155,NA,map
16182,-358,7971,0.318868,0.041233,NA,map
16277,-314,7967,0.371711,0.033569,NA,map
16372,-270,7963,0.453145,0.077502,NA,map
16468,-227,7958,0.432292,0.112444,NA,map
16563,-183,7954,0.535763,0.092847,NA,map
16658,-139,7950,0.940537,0.305043,NA,map
16753,-95,7945,0.734024,0.161015,NA,map
16826,-16,7940,0.425573,0.087975,NA,map
16898,63,7935,0.404316,0.121777,NA,map
16971,142,7930,0.591371,0.11868,NA,map
