y,x,z,mg_ca,st_dev,part,sample_mode,dist
7704,-5183,10981,0.324159,0.026403,A,map,NA
7763,-5132,10980,0.305068,0.01414,A,map,NA
7823,-5082,10979,0.310153,0.028365,A,map,NA
7882,-5031,10978,0.297387,0.022993,A,map,NA
7937,-4972,10977,0.287022,0.020505,A,map,NA
7991,-4912,10976,0.299192,0.021365,A,map,NA
8046,-4853,10975,0.288748,0.017847,A,map,NA
8101,-4793,10974,0.297991,0.028246,A,map,NA
8155,-4734,10973,0.328205,0.021966,A,map,NA
8210,-4674,10971,0.324438,0.029493,A,map,NA
8265,-4615,10970,0.349628,0.026097,A,map,NA
8319,-4555,10969,0.327757,0.011514,A,map,NA
8374,-4496,10968,0.319774,0.012994,A,map,NA
8439,-4453,10968,0.330358,0.028526,A,map,NA
8505,-4410,10967,0.338395,0.026933,A,map,NA
8570,-4367,10967,0.333158,0.017028,A,map,NA
8636,-4325,10966,0.333283,0.011131,A,map,NA
8701,-4282,10966,0.353757,0.031602,A,map,NA
8767,-4239,10966,0.296698,0.017302,A,map,NA
8832,-4196,10965,0.31374,0.018553,A,map,NA
8898,-4153,10965,0.339321,0.020942,A,map,NA
8963,-4110,10964,0.314816,0.019785,A,map,NA
9029,-4068,10964,0.339232,0.02384,A,map,NA
9094,-4025,10964,0.335587,0.007868,A,map,NA
9160,-3982,10963,0.369821,0.034283,A,map,NA
9225,-3939,10963,0.354498,0.030781,A,map,NA
9279,-3881,10962,0.350769,0.040612,A,map,NA
9333,-3823,10961,0.326286,0.033308,A,map,NA
9387,-3765,10960,0.335036,0.027748,A,map,NA
9441,-3707,10958,0.349829,0.02437,A,map,NA
9495,-3649,10957,0.326014,0.017619,A,map,NA
9550,-3592,10956,0.330182,0.023493,A,map,NA
9604,-3534,10955,0.314057,0.033523,A,map,NA
9658,-3476,10954,0.334433,0.031505,A,map,NA
9712,-3418,10953,0.342617,0.034202,A,map,NA
9766,-3360,10952,0.344863,0.029616,A,map,NA
9820,-3302,10951,0.368055,0.021334,A,map,NA
9875,-3249,10950,0.401845,0.031561,A,map,NA
9929,-3195,10949,0.439193,0.022446,A,map,NA
9984,-3142,10948,0.43429,0.027167,A,map,NA
10038,-3089,10947,0.535829,0.049314,A,map,NA
10093,-3036,10946,0.647651,0.055826,A,map,NA
10147,-2982,10945,0.44496,0.129095,A,map,NA
10202,-2929,10944,0.093655,0.031575,A,map,NA
10256,-2876,10943,0.064575,0.00838,A,map,NA
10311,-2823,10942,0.062098,0.010963,A,map,NA
10365,-2769,10941,0.076508,0.023461,A,map,NA
10420,-2716,10940,0.067792,0.006528,A,map,NA
10487,-2672,10940,0.06946,0.02252,A,map,NA
10553,-2627,10939,0.113386,0.059861,A,map,NA
10620,-2583,10939,0.083331,0.021989,A,map,NA
10686,-2538,10938,0.0619,0.011045,A,map,NA
10753,-2494,10938,0.066308,0.009241,A,map,NA
10820,-2450,10938,0.05858,0.013548,A,map,NA
10886,-2405,10937,0.074155,0.013687,A,map,NA
10953,-2361,10937,0.131448,0.051419,A,map,NA
11009,-2309,10936,0.100441,0.026517,A,map,NA
11065,-2256,10935,0.132308,0.046544,A,map,NA
11121,-2204,10934,0.096432,0.022909,A,map,NA
11177,-2151,10933,0.108158,0.028742,A,map,NA
11233,-2099,10932,0.124675,0.049891,A,map,NA
11289,-2046,10931,0.119751,0.027135,A,map,NA
11345,-1994,10930,0.064882,0.010927,A,map,NA
11401,-1941,10930,0.060244,0.016597,A,map,NA
11457,-1889,10929,0.058028,0.003607,A,map,NA
11526,-1836,10928,0.070199,0.008683,A,map,NA
11595,-1783,10927,0.069377,0.023099,A,map,NA
11664,-1730,10927,0.080384,0.023398,A,map,NA
11733,-1677,10926,0.089708,0.021752,A,map,NA
11802,-1624,10925,0.122998,0.040528,A,map,NA
11846,-1542,10923,0.109382,0.052679,A,map,NA
11891,-1461,10921,0.168801,0.033867,A,map,NA
11935,-1379,10919,0.157687,0.043551,A,map,NA
11984,-1318,10917,0.14629,0.03396,A,map,NA
12033,-1258,10916,0.105891,0.022992,A,map,NA
12082,-1197,10915,0.096273,0.017393,A,map,NA
12132,-1136,10913,0.073313,0.026679,A,map,NA
12181,-1076,10912,0.062812,0.015176,A,map,NA
12230,-1015,10911,0.088455,0.023468,A,map,NA
12279,-954,10910,0.097818,0.050226,A,map,NA
12328,-894,10908,0.108184,0.03781,A,map,NA
12377,-833,10907,0.082183,0.049963,A,map,NA
12426,-772,10906,0.092579,0.043875,A,map,NA
12475,-712,10904,0.106084,0.043817,A,map,NA
12525,-651,10903,0.119641,0.030597,A,map,NA
12574,-590,10902,0.103117,0.049911,A,map,NA
12623,-530,10900,0.106888,0.023475,A,map,NA
12672,-469,10899,0.145618,0.021919,A,map,NA
12724,-403,10898,0.264699,0.1447,A,map,NA
12776,-336,10896,0.208477,0.10113,A,map,NA
12828,-270,10895,0.102583,0.019342,A,map,NA
12879,-204,10893,0.082627,0.022115,A,map,NA
12931,-137,10892,0.115153,0.040596,A,map,NA
12983,-71,10890,0.110428,0.016776,A,map,NA
11803,-53,10869,0.10494,0.039895,A,map,NA
11747,-106,10869,0.055595,0.013211,A,map,NA
11691,-160,10870,0.066533,0.016546,A,map,NA
11634,-213,10871,0.109006,0.034018,A,map,NA
11578,-266,10872,0.145076,0.055692,A,map,NA
11522,-319,10873,0.080012,0.019024,A,map,NA
11466,-372,10874,0.057303,0.023799,A,map,NA
11410,-425,10875,0.050007,0.017867,A,map,NA
11354,-479,10876,0.07448,0.032454,A,map,NA
11298,-532,10877,0.055307,0.008091,A,map,NA
11241,-585,10878,0.086012,0.019003,A,map,NA
11185,-638,10879,0.077602,0.026452,A,map,NA
11129,-691,10880,0.063309,0.025395,A,map,NA
11073,-744,10881,0.052718,0.011352,A,map,NA
11017,-798,10881,0.065805,0.032561,A,map,NA
10961,-851,10882,0.055099,0.007412,A,map,NA
10905,-904,10883,0.050759,0.012123,A,map,NA
10849,-957,10884,0.059736,0.030093,A,map,NA
10792,-1010,10885,0.055198,0.016317,A,map,NA
10736,-1063,10886,0.059626,0.01763,A,map,NA
10680,-1117,10887,0.052205,0.018022,A,map,NA
10624,-1170,10888,0.054688,0.01338,A,map,NA
10568,-1223,10889,0.048588,0.00717,A,map,NA
10512,-1276,10890,0.051242,0.014297,A,map,NA
10456,-1329,10891,0.047669,0.018452,A,map,NA
10399,-1382,10892,0.04675,0.022697,A,map,NA
10343,-1436,10893,0.043407,0.012804,A,map,NA
10287,-1489,10893,0.049023,0.010433,A,map,NA
10231,-1542,10894,0.042092,0.01399,A,map,NA
10170,-1585,10895,0.060806,0.025428,A,map,NA
10108,-1628,10895,0.03629,0.004571,A,map,NA
10046,-1671,10896,0.038853,0.008555,A,map,NA
9985,-1714,10896,0.04125,0.01202,A,map,NA
9924,-1757,10897,0.037107,0.011705,A,map,NA
9862,-1800,10897,0.037087,0.013819,A,map,NA
9800,-1843,10898,0.050296,0.00898,A,map,NA
9739,-1886,10898,0.047387,0.009396,A,map,NA
9678,-1929,10898,0.050823,0.014013,A,map,NA
9616,-1972,10899,0.052042,0.018274,A,map,NA
9554,-2015,10899,0.042265,0.00847,A,map,NA
9493,-2058,10900,0.071675,0.027298,A,map,NA
9432,-2100,10900,0.182603,0.077396,A,map,NA
9370,-2143,10901,0.063692,0.018449,A,map,NA
9308,-2186,10901,0.049849,0.024321,A,map,NA
9247,-2229,10902,0.052319,0.018469,A,map,NA
9186,-2272,10902,0.042488,0.00927,A,map,NA
9124,-2315,10903,0.046146,0.011816,A,map,NA
9062,-2358,10903,0.05308,0.022469,A,map,NA
9001,-2401,10903,0.03577,0.006375,A,map,NA
8940,-2444,10904,0.038036,0.006593,A,map,NA
