sample_seq,element,specimen,VPDB
1,C,C16,-1.1
1,O,C16,1.2
1,C,C17,-1
1,O,C17,1.15
2,C,C16,-1
2,O,C16,0.98
2,C,C17,-1
2,O,C17,1.05
3,C,C16,-0.94
3,O,C16,0.58
3,C,C17,-0.9
3,O,C17,0.58
4,C,C16,-0.85
4,O,C16,-0.16
4,C,C17,-0.73
4,O,C17,0.57
5,C,C16,-0.87
5,O,C16,0.75
5,C,C17,NA
5,O,C17,NA
6,C,C16,-0.99
6,O,C16,0.28
6,C,C17,NA
6,O,C17,NA
7,C,C16,-1.08
7,O,C16,0.44
7,C,C17,NA
7,O,C17,NA
8,C,C16,-1.14
8,O,C16,0.52
8,C,C17,NA
8,O,C17,NA
9,C,C16,-0.91
9,O,C16,0.91
9,C,C17,-0.82
9,O,C17,0.63
10,C,C16,-1.38
10,O,C16,1.45
10,C,C17,-1.27
10,O,C17,0.44
11,C,C16,-1.1
11,O,C16,1.68
11,C,C17,NA
11,O,C17,NA
12,C,C16,-0.74
12,O,C16,1.85
12,C,C17,-1.18
12,O,C17,0.49
13,C,C16,-0.5
13,O,C16,2.02
13,C,C17,-0.95
13,O,C17,0.84
14,C,C16,-0.42
14,O,C16,1.97
14,C,C17,-1.1
14,O,C17,1.16
15,C,C16,-0.42
15,O,C16,2.04
15,C,C17,-1.12
15,O,C17,1.06
16,C,C16,-0.46
16,O,C16,2.05
16,C,C17,-1.48
16,O,C17,0.64
17,C,C16,-0.51
17,O,C16,1.94
17,C,C17,-1.03
17,O,C17,1.67
18,C,C16,-0.48
18,O,C16,2.15
18,C,C17,-1.4
18,O,C17,1.09
19,C,C16,-0.51
19,O,C16,1.97
19,C,C17,-0.59
19,O,C17,1.76
20,C,C16,-0.58
20,O,C16,1.76
20,C,C17,-0.65
20,O,C17,1.95
21,C,C16,-0.67
21,O,C16,1.63
21,C,C17,-0.57
21,O,C17,1.87
22,C,C16,-0.76
22,O,C16,1.67
22,C,C17,-0.44
22,O,C17,2.19
23,C,C16,-1.23
23,O,C16,1.31
23,C,C17,-0.41
23,O,C17,2.2
24,C,C16,-1.35
24,O,C16,1.48
24,C,C17,-0.43
24,O,C17,1.87
25,C,C16,-1.33
25,O,C16,1.05
25,C,C17,-0.33
25,O,C17,2
26,C,C16,-1.63
26,O,C16,0.9
26,C,C17,-0.57
26,O,C17,1.95
27,C,C16,-1.76
27,O,C16,0.92
27,C,C17,-0.62
27,O,C17,1.98
28,C,C16,-2.45
28,O,C16,0.58
28,C,C17,-0.51
28,O,C17,1.78
29,C,C16,-1.85
29,O,C16,1.64
29,C,C17,-0.62
29,O,C17,1.68
30,C,C16,-1.76
30,O,C16,1.95
30,C,C17,-0.77
30,O,C17,1.23
31,C,C16,-1.58
31,O,C16,1.89
31,C,C17,-1.16
31,O,C17,0.65
32,C,C16,-1.74
32,O,C16,1.26
32,C,C17,-1.08
32,O,C17,0.47
33,C,C16,-1.52
33,O,C16,1.32
33,C,C17,-1.33
33,O,C17,0.05
34,C,C16,-1.49
34,O,C16,0.83
34,C,C17,-1.51
34,O,C17,0.03
35,C,C16,-2.08
35,O,C16,0.96
35,C,C17,-1.66
35,O,C17,-0.04
36,C,C16,-1.72
36,O,C16,1.17
36,C,C17,-1.48
36,O,C17,-0.2
37,C,C16,-1.3
37,O,C16,1.39
37,C,C17,-1.42
37,O,C17,-0.26
38,C,C16,-1.32
38,O,C16,1.42
38,C,C17,-1.2
38,O,C17,0.48
39,C,C16,-1.27
39,O,C16,1.42
39,C,C17,-1.06
39,O,C17,0.86
40,C,C16,-1.32
40,O,C16,1.27
40,C,C17,-0.8
40,O,C17,1.9
41,C,C16,-1.37
41,O,C16,0.68
41,C,C17,-0.75
41,O,C17,1.73
42,C,C16,-1.69
42,O,C16,0.48
42,C,C17,-1.3
42,O,C17,1.1
43,C,C16,-1.88
43,O,C16,0.45
43,C,C17,-1.77
43,O,C17,0.53
44,C,C16,NA
44,O,C16,NA
44,C,C17,-1.59
44,O,C17,0.49
45,C,C16,NA
45,O,C16,NA
45,C,C17,-2.38
45,O,C17,1.03
46,C,C16,NA
46,O,C16,NA
46,C,C17,-2.14
46,O,C17,1.37
47,C,C16,NA
47,O,C16,NA
47,C,C17,-1.92
47,O,C17,1.57
49,C,C16,NA
49,O,C16,NA
49,C,C17,-2.1
49,O,C17,1.14
50,C,C16,NA
50,O,C16,NA
50,C,C17,-1.94
50,O,C17,1.14
51,C,C16,NA
51,O,C16,NA
51,C,C17,-2.11
51,O,C17,1
52,C,C16,NA
52,O,C16,NA
52,C,C17,-1.57
52,O,C17,1.3
