y,x,z,mg_ca,st_dev,sample_mode,dist
16345,6092,8445,0.126565,0.053732,map,NA
16389,6190,8442,0.156668,0.040825,map,NA
16432,6287,8439,0.091844,0.026937,map,NA
16476,6384,8436,0.078608,0.022533,map,NA
16520,6482,8433,0.067085,0.005204,map,NA
16563,6579,8430,0.058225,0.011633,map,NA
16607,6677,8427,0.073338,0.011325,map,NA
16661,6770,8424,0.057197,0.012706,map,NA
16716,6863,8421,0.048863,0.00872,map,NA
16770,6956,8418,0.04436,0.005708,map,NA
16825,7049,8415,0.090373,0.017056,map,NA
16879,7142,8412,0.116777,0.057737,map,NA
16934,7234,8410,0.065914,0.009169,map,NA
16988,7327,8407,0.067039,0.026515,map,NA
17042,7420,8404,0.113148,0.034765,map,NA
17097,7513,8401,0.132121,0.085117,map,NA
17151,7606,8398,0.122869,0.051604,map,NA
17206,7699,8395,0.067386,0.01516,map,NA
17260,7792,8392,0.060432,0.013131,map,NA
17324,7871,8390,0.051657,0.011072,map,NA
17387,7949,8387,0.050384,0.009498,map,NA
17451,8028,8385,0.102452,0.031671,map,NA
17514,8107,8382,0.047762,0.003394,map,NA
17578,8185,8380,0.057073,0.007954,map,NA
17642,8264,8377,0.053911,0.014672,map,NA
17705,8342,8375,0.052435,0.0074400000000000004,map,NA
17769,8421,8373,0.045014,0.011562,map,NA
17835,8504,8370,0.10467,0.032742,map,NA
17901,8588,8367,0.099837,0.031033,map,NA
17966,8671,8365,0.124577,0.0092,map,NA
18032,8754,8362,0.090768,0.027108,map,NA
18098,8837,8360,0.088772,0.029152,map,NA
18164,8921,8357,0.093724,0.028705,map,NA
18230,9004,8354,0.096416,0.014601,map,NA
18296,9087,8352,0.114044,0.035556,map,NA
18361,9170,8349,0.087444,0.029475,map,NA
18427,9254,8347,0.060411,0.007138,map,NA
18493,9337,8344,0.04654,0.010155,map,NA
18548,9421,8341,0.041132,0.009662,map,NA
18603,9505,8339,0.03617,0.006132,map,NA
18658,9589,8336,0.042997,0.007588,map,NA
18713,9672,8334,0.038691,0.005853,map,NA
18768,9756,8331,0.042293,0.009862,map,NA
18823,9840,8328,0.033358,0.004777,map,NA
18878,9924,8326,0.038583,0.004084,map,NA
18933,10008,8323,0.046604,0.008046,map,NA
18988,10092,8321,0.043103,0.008288,map,NA
19043,10175,8318,0.04446,0.018928,map,NA
19098,10259,8315,0.071882,0.028872,map,NA
19153,10343,8313,0.068524,0.009427,map,NA
19208,10427,8310,0.080649,0.024344,map,NA
19241,10528,8307,0.083633,0.030508,map,NA
19275,10628,8304,0.082659,0.021038,map,NA
19308,10729,8301,0.082457,0.022461,map,NA
19341,10830,8297,0.058898,0.020802,map,NA
19374,10931,8294,0.054941,0.008935,map,NA
19408,11031,8291,0.06048,0.004678,map,NA
19441,11132,8288,0.054088,0.006277,map,NA
19491,11220,8285,0.071187,0.010271,map,NA
19541,11307,8282,0.05121,0.007894,map,NA
19590,11395,8280,0.047131,0.007969,map,NA
19640,11482,8277,0.043226,0.011211,map,NA
19690,11570,8274,0.0507,0.011701,map,NA
19740,11657,8271,0.040318,0.008134,map,NA
19790,11745,8269,0.044329,0.007937,map,NA
19840,11832,8266,0.050196,0.010843,map,NA
19889,11920,8263,0.063852,0.050933,map,NA
19939,12008,8260,0.036044,0.010456,map,NA
19989,12095,8258,0.037811,0.009772,map,NA
20039,12183,8255,0.040189,0.008768,map,NA
20089,12270,8252,0.044979,0.004405,map,NA
20138,12358,8249,0.038055,0.01074,map,NA
20188,12445,8247,0.029151,0.002917,map,NA
20238,12533,8244,0.032082,0.004816,map,NA
20301,12612,8242,0.028049,0.011175,map,NA
20364,12691,8239,0.027277,0.004217,map,NA
20428,12770,8237,0.031508,0.007149,map,NA
20491,12849,8234,0.031196,0.01226,map,NA
20554,12928,8232,0.031588,0.009374,map,NA
20618,13007,8229,0.03292,0.008107,map,NA
20681,13086,8227,0.029929,0.004092,map,NA
20744,13165,8224,0.037902,0.005787,map,NA
20807,13244,8222,0.030995,0.00723,map,NA
20870,13323,8219,0.036047,0.009539,map,NA
20934,13402,8217,0.032217,0.010424,map,NA
20997,13481,8215,0.037919,0.006843,map,NA
21069,13552,8212,0.043529,0.004249,map,NA
21140,13622,8210,0.043136,0.00468,map,NA
21212,13693,8208,0.058177,0.005204,map,NA
21283,13763,8206,0.05257,0.008959,map,NA
21355,13834,8204,0.034709,0.005567,map,NA
21426,13904,8202,0.044347,0.005861,map,NA
21498,13975,8199,0.030174,0.008917,map,NA
21540,14072,8196,0.039617,0.006668,map,NA
21583,14169,8193,0.041177,0.007064,map,NA
21625,14267,8190,0.042889,0.00941,map,NA
21667,14364,8187,0.039674,0.00847,map,NA
21710,14461,8184,0.034635,0.006388,map,NA
21752,14558,8181,0.038764,0.008275,map,NA
21794,14655,8178,0.045087,0.003853,map,NA
21837,14753,8175,0.040381,0.007254,map,NA
21879,14850,8172,0.0364,0.010197,map,NA
21921,14947,8169,0.033028,0.006767,map,NA
21964,15044,8166,0.036129,0.005804,map,NA
22006,15141,8163,0.038909,0.009596,map,NA
22048,15239,8160,0.038581,0.011469,map,NA
22091,15336,8157,0.035214,0.011896,map,NA
22133,15433,8153,0.040682,0.010918,map,NA
22176,15532,8150,0.032785,0.00809,map,NA
22219,15631,8147,0.034516,0.005792,map,NA
22263,15731,8144,0.036613,0.012775,map,NA
22306,15830,8141,0.035477,0.006137,map,NA
22349,15929,8138,0.035323,0.006887,map,NA
22392,16028,8135,0.037206,0.007123,map,NA
22436,16128,8132,0.032656,0.003442,map,NA
22479,16227,8129,0.034511,0.014959,map,NA
22522,16326,8125,0.03581,0.012324,map,NA
22558,16422,8122,0.038926,0.009996,map,NA
22593,16518,8119,0.04397,0.010446,map,NA
22629,16614,8116,0.047193,0.014678,map,NA
22665,16710,8113,0.04586,0.011286,map,NA
22700,16806,8110,0.032494,0.005001,map,NA
22736,16901,8107,0.044716,0.004437,map,NA
22772,16997,8104,0.052675,0.007107,map,NA
22808,17093,8101,0.039343,0.005556,map,NA
22843,17189,8098,0.032556,0.005179,map,NA
22879,17285,8095,0.051769,0.009394,map,NA
22901,17390,8092,0.044712,0.006692,map,NA
22923,17496,8089,0.057136,0.005302,map,NA
22945,17601,8085,0.054822,0.007838,map,NA
22967,17706,8082,0.049498,0.010381,map,NA
22989,17812,8079,0.063512,0.015741,map,NA
23011,17917,8075,0.051683,0.011625,map,NA
23033,18023,8072,0.072594,0.015538,map,NA
23055,18128,8069,0.07676,0.008935,map,NA
23077,18233,8065,0.067739,0.004981,map,NA
23099,18339,8062,0.080125,0.018753,map,NA
23121,18444,8059,0.051779,0.009994,map,NA
23139,18548,8055,0.052819,0.012322,map,NA
23157,18651,8052,0.04311,0.005503,map,NA
23176,18755,8049,0.067982,0.02075,map,NA
23194,18859,8045,0.054536,0.011107,map,NA
23212,18962,8042,0.125423,0.036424,map,NA
23230,19066,8039,0.174984,0.055268,map,NA
23248,19169,8036,0.071291,0.050027,map,NA
23266,19273,8032,0.090237,0.033476,map,NA
23285,19377,8029,0.056171,0.027944,map,NA
23303,19480,8026,0.069594,0.00924,map,NA
23321,19584,8022,0.08802,0.032115,map,NA
23321,19685,8019,0.10744,0.038119,map,NA
23321,19786,8016,0.059231,0.011675,map,NA
23321,19887,8013,0.062498,0.028413,map,NA
23321,19988,8010,0.048985,0.011014,map,NA
23321,20089,8006,0.039049,0.00637,map,NA
23321,20190,8003,0.045707,0.005877,map,NA
23321,20291,8000,0.043935,0.011249,map,NA
23321,20392,7997,0.037203,0.004575,map,NA
23321,20493,7993,0.056799,0.012757,map,NA
23321,20594,7990,0.077799,0.010885,map,NA
23321,20695,7987,0.084339,0.012612,map,NA
23343,20803,7984,0.072786,0.01271,map,NA
23365,20912,7980,0.075003,0.009573,map,NA
23388,21020,7977,0.087291,0.028002,map,NA
23410,21128,7973,0.087398,0.019619,map,NA
23432,21237,7970,0.102743,0.039973,map,NA
23454,21345,7966,0.065191,0.015865,map,NA
23477,21453,7963,0.07629,0.00901,map,NA
23499,21562,7960,0.075906,0.013656,map,NA
23521,21670,7956,0.078779,0.010523,map,NA
23538,21777,7953,0.078041,0.020234,map,NA
23554,21883,7949,0.063836,0.019891,map,NA
23571,21990,7946,0.04534,0.004445,map,NA
23588,22097,7943,0.033717,0.001871,map,NA
23604,22203,7939,0.028018,0.001395,map,NA
23621,22310,7936,0.033848,0.00735,map,NA
23638,22417,7932,0.030979,0.004025,map,NA
23654,22523,7929,0.037722,0.009095,map,NA
23671,22630,7926,0.041164,0.009925,map,NA
23688,22737,7922,0.031263,0.00916,map,NA
23704,22843,7919,0.031279,0.009468,map,NA
23721,22950,7916,0.03166,0.001744,map,NA
23721,23062,7912,0.035434,0.011371,map,NA
23721,23174,7908,0.035732,0.013106,map,NA
23721,23286,7905,0.040243,0.015035,map,NA
23721,23398,7901,0.030834,0.004575,map,NA
23721,23510,7898,0.038941,0.015137,map,NA
23721,23622,7894,0.030322000000000002,0.007578,map,NA
23721,23734,7891,0.035053,0.008673,map,NA
23641,23824,7888,0.048182,0.012056,map,NA
23562,23915,7885,0.075624,0.013359,map,NA
23482,24005,7882,0.11697,0.038507,map,NA
23440,24110,7878,0.289818,0.178625,map,NA
23398,24214,7875,0.080777,0.021547,map,NA
23355,24319,7872,0.14049,0.077424,map,NA
23313,24423,7868,0.162111,0.020944,map,NA
23271,24528,7865,0.780335,0.21693,map,NA
23193,24592,7863,0.373706,0.118118,map,NA
23114,24657,7861,0.269438,0.169849,map,NA
23036,24721,7858,0.367915,0.125821,map,NA
22958,24786,7856,0.473932,0.195427,map,NA
22879,24850,7854,0.198628,0.073312,map,NA
22801,24914,7852,0.081831,0.0283,map,NA
22722,24979,7850,0.063734,0.01591,map,NA
22644,25043,7848,0.044426,0.011485,map,NA
22573,25124,7845,0.049681,0.017815,map,NA
22502,25205,7842,0.041657,0.007848,map,NA
22431,25286,7840,0.09005,0.037706,map,NA
22361,25368,7837,0.226054,0.220333,map,NA
22290,25449,7834,0.456494,0.182171,map,NA
22219,25530,7832,0.769158,0.236294,map,NA
22148,25611,7829,0.651293,0.173049,map,NA
22064,25673,7827,0.973965,0.323106,map,NA
21980,25735,7825,0.758745,0.450471,map,NA
21896,25797,7823,0.225849,0.106795,map,NA
21812,25859,7821,0.097947,0.032359,map,NA
21728,25920,7819,0.115387,0.031231,map,NA
21644,25982,7817,0.147001,0.043747,map,NA
21560,26044,7815,0.096466,0.035437,map,NA
21476,26106,7813,0.19847,0.097304,map,NA
21392,26168,7811,0.120331,0.04287,map,NA
21313,26239,7808,0.139337,0.062678,map,NA
21235,26309,7806,0.152067,0.049923,map,NA
21156,26380,7804,0.124407,0.03684,map,NA
21077,26450,7801,0.111611,0.024791,map,NA
20998,26521,7799,0.105522,0.045845,map,NA
20920,26591,7797,0.137845,0.071244,map,NA
20841,26662,7794,0.074951,0.039079,map,NA
20762,26732,7792,0.068115,0.029633,map,NA
20683,26803,7790,0.055276,0.016016,map,NA
20605,26873,7787,0.064184,0.020107,map,NA
20526,26944,7785,0.085562,0.022396,map,NA
20449,27010,7783,0.06984,0.028029,map,NA
20373,27076,7781,0.100065,0.038618,map,NA
20296,27142,7779,0.09586,0.048581,map,NA
20220,27208,7776,0.109027,0.039221,map,NA
20143,27274,7774,0.114226,0.034956,map,NA
20066,27340,7772,0.17242,0.04785,map,NA
19990,27406,7770,0.135643,0.057669,map,NA
19913,27472,7768,0.183615,0.08813,map,NA
19836,27538,7765,0.229083,0.115878,map,NA
19760,27604,7763,0.088798,0.044279,map,NA
19683,27670,7761,0.113262,0.023244,map,NA
19607,27736,7759,0.152228,0.082329,map,NA
19530,27802,7757,0.081531,0.033019,map,NA
19445,27866,7755,0.121429,0.084498,map,NA
19361,27930,7753,0.161653,0.045539,map,NA
19276,27995,7750,0.125271,0.041035,map,NA
19191,28059,7748,0.123702,0.045384,map,NA
19106,28123,7746,0.114571,0.025871,map,NA
19022,28187,7744,0.09573,0.046451,map,NA
18937,28252,7742,0.190458,0.121569,map,NA
18852,28316,7740,0.141998,0.051876,map,NA
18768,28380,7738,0.130161,0.043356,map,NA
18683,28444,7735,0.135996,0.045228,map,NA
18598,28508,7733,0.259033,0.07779,map,NA
18513,28573,7731,0.153067,0.085074,map,NA
18429,28637,7729,0.163135,0.049201,map,NA
