"","proxy","value","x"
"1","mg_ca",0.25456,17.5
"2","mg_ca",0.27044,15
"3","mg_ca",0.2716,20.5
"4","mg_ca",0.27161,22
"5","mg_ca",0.28041,16
"6","mg_ca",0.284,19
"7","mg_ca",0.28496,23
"8","mg_ca",0.28508,14
"9","mg_ca",0.29787,24
"10","mg_ca",0.30305,36
"11","mg_ca",0.30717,12
"12","mg_ca",0.30812,35
"13","mg_ca",0.31872,34
"14","mg_ca",0.3236,13
"15","mg_ca",0.33917,9
"16","mg_ca",0.3403,11
"17","mg_ca",0.34203,1
"18","mg_ca",0.34227,41
"19","mg_ca",0.34228,43.5
"20","mg_ca",0.34253,25
"21","mg_ca",0.35117,37
"22","mg_ca",0.3576,10
"23","mg_ca",0.36241,2
"24","mg_ca",0.3676,8
"25","mg_ca",0.373,26.5
"26","mg_ca",0.37941,46
"27","mg_ca",0.38393,4
"28","mg_ca",0.38394,6.5
"29","mg_ca",0.39992,38
"30","mg_ca",0.40367,45
"31","mg_ca",0.42059,33
"32","mg_ca",0.43815,28
"33","mg_ca",0.44306,32
"34","mg_ca",0.44872,29
"35","mg_ca",0.44873,30.5
"36","mg_ca",0.45035,39
"37","O",-0.25994,32
"38","O",-0.19994,31
"39","O",-0.03994,30
"40","O",0.03006,29
"41","O",0.05006,28
"42","O",0.44001,6
"43","O",0.47005,27
"44","O",0.48007,33
"45","O",0.49001,7
"46","O",0.49008,39
"47","O",0.53008,38
"48","O",0.57001,4
"49","O",0.58001,3
"50","O",0.63001,5
"51","O",0.64002,11
"52","O",0.65005,26
"53","O",0.84002,8
"54","O",0.86007,34
"55","O",1.00009,45
"56","O",1.03008,40
"57","O",1.05,2
"58","O",1.06002,10
"59","O",1.09003,13
"60","O",1.10007,37
"61","O",1.14009,43.5
"62","O",1.15,1
"63","O",1.16002,9
"64","O",1.23005,25
"65","O",1.30009,46
"66","O",1.37008,41
"67","O",1.57008,42
"68","O",1.67002,12
"69","O",1.68005,24
"70","O",1.73007,36
"71","O",1.76003,14
"72","O",1.78005,23
"73","O",1.87003,16
"74","O",1.87004,19
"75","O",1.90007,35
"76","O",1.95003,15
"77","O",1.95004,21
"78","O",1.98004,22
"79","O",2.00004,20
"80","O",2.19003,17
"81","O",2.20004,18
