# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: OCEANCOLOUR_GLO_BGC_L4_MY_009_108
# Dataset: c3s_obs-oc_glo_bgc-plankton_my_l4-multi-4km_P1M
# Variable: Mass concentration of chlorophyll a in sea water (CHL) milligram m-3
# Geometry: POINT(145.46917207070217 -40.851916888289416)
# Values from graph: v(t): value vs. time

time,chl
"2014-03-01T00:00:00.000Z",0.62564194
"2014-04-01T00:00:00.000Z",1.0527984
"2014-06-01T00:00:00.000Z",1.9342732
"2014-07-01T00:00:00.000Z",3.102598
"2014-09-01T00:00:00.000Z",0.9671576
"2014-11-01T00:00:00.000Z",0.54491854
"2014-12-01T00:00:00.000Z",0.44381472
"2015-02-01T00:00:00.000Z",0.3830457
"2015-03-01T00:00:00.000Z",0.6230578
"2015-05-01T00:00:00.000Z",1.173953
"2015-06-01T00:00:00.000Z",0.92887735
"2015-08-01T00:00:00.000Z",1.1924447
"2015-09-01T00:00:00.000Z",0.61439645
"2015-11-01T00:00:00.000Z",0.49875402
"2015-12-01T00:00:00.000Z",0.5573148
"2016-02-01T00:00:00.000Z",0.78447
"2016-04-01T00:00:00.000Z",0.65680027
"2016-05-01T00:00:00.000Z",1.7551349
"2016-07-01T00:00:00.000Z",3.1118865
"2016-08-01T00:00:00.000Z",2.5542274
"2016-10-01T00:00:00.000Z",1.4471872
"2016-11-01T00:00:00.000Z",1.0808542
"2017-01-01T00:00:00.000Z",0.5463428
"2017-02-01T00:00:00.000Z",0.58544993
"2017-04-01T00:00:00.000Z",1.8298242
"2017-05-01T00:00:00.000Z",0.83518904
"2017-07-01T00:00:00.000Z",2.2144637
"2017-09-01T00:00:00.000Z",1.5242851
"2017-10-01T00:00:00.000Z",0.6900016
"2017-12-01T00:00:00.000Z",0.33270827
"2018-01-01T00:00:00.000Z",0.48327607
"2018-03-01T00:00:00.000Z",0.7796002
"2018-04-01T00:00:00.000Z",1.0933801
"2018-06-01T00:00:00.000Z",1.4805998
"2018-07-01T00:00:00.000Z",1.5982842
"2018-09-01T00:00:00.000Z",1.6546105
"2018-10-01T00:00:00.000Z",0.827317
"2018-12-01T00:00:00.000Z",0.77861446
"2019-02-01T00:00:00.000Z",0.542579
"2019-03-01T00:00:00.000Z",0.6084368
"2019-05-01T00:00:00.000Z",1.45585
"2019-06-01T00:00:00.000Z",1.5681325
"2019-08-01T00:00:00.000Z",2.0612252
"2019-09-01T00:00:00.000Z",1.2170739
"2019-11-01T00:00:00.000Z",0.5646969
"2019-12-01T00:00:00.000Z",0.517057
"2020-02-01T00:00:00.000Z",0.92205215
"2020-03-01T00:00:00.000Z",0.8296234
"2020-05-01T00:00:00.000Z",2.0523376
"2020-07-01T00:00:00.000Z",1.4342191
"2020-08-01T00:00:00.000Z",1.4283437
"2020-10-01T00:00:00.000Z",0.92134607
"2020-11-01T00:00:00.000Z",0.5906652
"2021-01-01T00:00:00.000Z",0.74848056
"2021-02-01T00:00:00.000Z",0.82571864
"2021-04-01T00:00:00.000Z",1.1578172
"2021-05-01T00:00:00.000Z",1.1547494
"2021-07-01T00:00:00.000Z",2.8904998
"2021-08-01T00:00:00.000Z",2.2217143
"2021-10-01T00:00:00.000Z",1.3086342
"2021-12-01T00:00:00.000Z",0.5555455
"2022-01-01T00:00:00.000Z",0.67310655
"2022-03-01T00:00:00.000Z",0.8060598
"2022-04-01T00:00:00.000Z",0.90663356
"2022-06-01T00:00:00.000Z",1.65586
"2022-07-01T00:00:00.000Z",1.3217924
"2022-09-01T00:00:00.000Z",1.1612033
"2022-10-01T00:00:00.000Z",1.2494035
"2022-12-01T00:00:00.000Z",0.6842422
"2023-01-01T00:00:00.000Z",0.8139278
"2023-03-01T00:00:00.000Z",0.8110774
